7.084000000000000297e-01 4.208325082500162691e-03
2.004199999999999982e+00 7.078488539229261037e-03
2.183600000000000207e+00 7.388504584826350273e-03
1.684425000000000061e+00 6.489269989760019369e-03
1.124975000000000058e+00 5.303241933006640034e-03
6.896999999999999797e-01 4.152408939398912618e-03
4.240999999999999770e-01 3.256148031032986886e-03
2.975249999999999839e-01 2.727292613563861694e-03
2.326249999999999984e-01 2.411560697971336636e-03
2.266249999999999931e-01 2.380257339028702453e-03
2.667249999999999899e-01 2.582271287064935757e-03
2.228249999999999953e-01 2.360217151026574450e-03
1.245249999999999968e-01 1.764404998859388880e-03
7.527499999999999469e-02 1.371814491831894935e-03
6.652500000000000080e-02 1.289622037652892990e-03
9.817499999999999838e-02 1.566644503389329852e-03
2.188249999999999917e-01 2.338936724240311613e-03
4.869749999999999912e-01 3.489179703024766679e-03
8.811999999999999833e-01 4.693612681080533769e-03
1.118624999999999980e+00 5.288253492411270316e-03
1.419175000000000075e+00 5.956456580887667558e-03
2.661000000000000032e+00 8.156285919461136666e-03
4.397124999999999950e+00 1.048466141561090088e-02
3.004574999999999996e+00 8.666854965903143804e-03
3.822749999999999759e-01 3.091419576828742521e-03
